Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top7,2022,5,May,2022-05,2022-05-01 03:30:00,2022-05-30 03:30:00,56373.44340215076,64073.860669723756,13.659653912996927,-6.763930504535454,59.25891642597796,5,40.0,86347.30871733367,,,
top7,2022,6,June,2022-06,2022-06-03 03:30:00,2022-06-28 09:00:00,64073.860669723756,74115.1506517382,15.671429623654864,-5.8047558654270475,31.862874312626875,7,57.14285714285714,99879.16643489063,,,
top7,2022,7,July,2022-07,2022-07-01 03:30:00,2022-07-31 11:00:00,74115.1506517382,80247.79768484557,8.274485013090317,-1.5045807138848066,14.788647581209299,5,40.0,108143.6530927452,,,
top7,2022,8,August,2022-08,2022-08-01 01:30:00,2022-08-30 07:00:00,80247.79768484557,85396.75566592273,6.41632310122513,-4.978233668135945,18.756500808382427,7,71.42857142857143,115082.49928864377,,,
top7,2022,9,September,2022-09,2022-09-03 07:00:00,2022-09-28 14:30:00,85396.75566592273,92926.6804967449,8.81757716918392,0.0,10.40088527185228,5,20.0,125229.98747164547,,,
top7,2022,10,October,2022-10,2022-10-01 07:00:00,2022-10-29 03:30:00,92926.6804967449,94660.38182353502,1.8656658319467834,0.0,6.277294902949144,2,50.0,127566.36055925519,,,
top7,2022,11,November,2022-11,2022-11-02 08:00:00,2022-11-30 03:30:00,94660.38182353502,99470.87347410154,5.081842644089685,-0.8740945273725487,14.829337058222103,4,0.0,134049.0822696686,,,
top7,2022,12,December,2022-12,2022-12-01 04:00:00,2022-12-30 17:45:00,99470.87347410154,101631.0879255954,2.171705521472389,-2.0877263855839767,18.22103713260221,2,0.0,136960.2335908021,,,
top7,2023,1,January,2023-01,2023-01-01 03:30:00,2023-01-29 07:00:00,101631.0879255954,105910.52110891772,4.2107521140138715,-1.4523257183916338,12.949435166884754,2,50.0,142727.2895220851,,,
top7,2023,2,February,2023-02,2023-02-02 03:30:00,2023-02-28 22:45:00,105910.52110891772,108221.44666721509,2.1819603322703163,-2.9065336520163965,16.66237192112793,3,33.33333333333333,145841.54236278162,,,
top7,2023,3,March,2023-03,2023-03-01 05:00:00,2023-03-30 07:00:00,108221.44666721509,109012.01592557416,0.7305107099428332,-6.946261084807648,27.71465146471006,5,60.0,146906.93044928758,,,
top7,2023,4,April,2023-04,2023-04-03 07:00:00,2023-04-27 07:00:00,109012.01592557416,117463.14901304856,7.752478491219028,-2.220446049250313e-14,16.37092729009607,6,50.0,158295.8586344787,,,
top7,2023,5,May,2023-05,2023-05-01 08:00:00,2023-05-29 07:30:00,117463.14901304856,121455.73230659892,3.3990092442582442,-1.1102230246251565e-14,6.290288458131806,3,33.33333333333333,163676.34950274258,,,
top7,2023,6,June,2023-06,2023-06-02 12:00:00,2023-06-30 07:00:00,121455.73230659892,114165.21480261841,-6.0026129401423045,-6.0026129401423045,28.730571698753366,1,0.0,153851.49176753842,,,
top7,2023,7,July,2023-07,2023-07-02 15:00:00,2023-07-28 07:00:00,114165.21480261841,123925.67523171652,8.549417128477433,-4.611395533036877,31.892584416725704,5,40.0,167004.8975571304,,,
top7,2023,8,August,2023-08,2023-08-01 03:30:00,2023-08-29 08:00:00,123925.67523171652,125612.34215785473,1.361031055900619,0.0,7.638767855908932,2,0.0,169277.88607775795,,,
top7,2023,9,September,2023-09,2023-09-02 03:30:00,2023-09-30 03:30:00,125612.34215785473,130943.93600758929,4.244482475324318,-1.0108239696882015,9.31673734892106,4,50.0,176462.85628692782,,,
top7,2023,10,October,2023-10,2023-10-04 12:00:00,2023-10-31 02:00:00,130943.93600758929,134645.75850722526,2.8270285837607823,-0.4951798890150627,7.559768947275349,5,60.0,181451.51167388,,,
top7,2023,11,November,2023-11,2023-11-01 14:30:00,2023-11-30 03:30:00,134645.75850722526,140613.955049562,4.432517302070438,-4.394010008390348,27.0760815430734,4,50.0,189494.3813236931,,,
top7,2023,12,December,2023-12,2023-12-03 03:30:00,2023-12-31 07:00:00,140613.955049562,143072.69579152594,1.7485751973175923,-5.66139851848183,30.333828084429243,4,25.0,192807.8330758296,,,
top7,2024,1,January,2024-01,2024-01-01 02:30:00,2024-01-28 03:30:00,143072.69579152594,175316.67909018917,22.5367832207807,-6.8367321899391325,43.143690520766555,9,55.55555555555556,236260.51644881404,,,
top7,2024,2,February,2024-02,2024-02-01 02:30:00,2024-02-29 14:00:00,175316.67909018917,194644.63840052104,11.02459812188712,-2.8229624520827,17.09448503278577,6,50.0,262307.2889079908,,,
top7,2024,3,March,2024-03,2024-03-03 08:30:00,2024-03-30 06:00:00,194644.63840052104,195542.03463683752,0.46104338844921156,-11.790902578374851,41.61256595733888,9,55.55555555555556,263516.63932092144,,,
top7,2024,4,April,2024-04,2024-04-01 07:00:00,2024-04-30 22:45:00,195542.03463683752,195056.8012546641,-0.24814786399998123,-3.675482342191827,21.521532026845357,4,25.0,262862.728409162,,,
top7,2024,5,May,2024-05,2024-05-01 11:00:00,2024-05-31 02:30:00,195056.8012546641,209234.36807142443,7.268429875588001,0.0,14.28275116813552,4,25.0,281968.72149263934,,,
top7,2024,6,June,2024-06,2024-06-01 19:00:00,2024-06-29 07:00:00,209234.36807142443,257409.52043771953,23.024492969458056,-0.13502112129365473,29.08301484953894,7,71.42857142857143,346890.5899487828,,,
top7,2024,7,July,2024-07,2024-07-02 07:00:00,2024-07-31 06:00:00,257409.52043771953,284537.5193531371,10.538848318153505,-0.9773495093566287,14.17162570592543,3,66.66666666666666,383448.8630534329,,,
top7,2024,8,August,2024-08,2024-08-01 21:00:00,2024-08-31 10:00:00,284537.5193531371,304899.3921081354,7.156129287022894,-0.12366712141881342,14.411768270463252,4,50.0,410888.9594431559,,,
top7,2024,9,September,2024-09,2024-09-02 10:00:00,2024-09-29 11:45:00,304899.3921081354,321393.24867899175,5.409606249725374,-7.216553672674997,37.47495020076486,5,40.0,433116.4342726244,,,
top7,2024,10,October,2024-10,2024-10-02 15:30:00,2024-10-30 02:30:00,321393.24867899175,350558.08472602424,9.074501772177058,-1.7336746056409447,14.266640985037071,6,66.66666666666666,472419.59277628374,,,
top7,2024,11,November,2024-11,2024-11-01 11:15:00,2024-11-29 22:00:00,350558.08472602424,358774.24048025126,2.34373592058168,-7.648337853904041,27.656835605878317,5,20.0,483491.8604680472,,,
top7,2024,12,December,2024-12,2024-12-01 06:45:00,2024-12-25 13:30:00,358774.24048025126,456111.0363889692,27.130374738839656,-3.647593373888447,22.751695190932768,5,80.0,614665.0140448161,,,
top7,2025,1,January,2025-01,2025-01-01 14:00:00,2025-01-30 13:30:00,456111.0363889692,449541.7117547234,-1.4402906551560735,-17.620560179471788,43.08587727441832,9,44.44444444444444,605812.0512870149,,,
top7,2025,2,February,2025-02,2025-02-03 13:00:00,2025-02-28 05:00:00,449541.7117547234,442982.92141442245,-1.4589948315807288,-6.448814397344327,34.0960209888484,3,0.0,596973.284769644,,,
top7,2025,3,March,2025-03,2025-03-01 17:45:00,2025-03-04 20:30:00,442982.92141442245,447323.04672869283,0.9797500319905339,0.0,10.997666833168159,1,0.0,602822.1307181496,,,
